Timestamp,PM1.0,PM2.5,PM4.0,PM10.0,NC0.5,NC1.0,NC2.5,NC4.0,NC10.0,TypicalSize
07/24/2026 12:27:29 PM,2,4,6,6,12,17,19,19,19,528
07/24/2026 12:27:30 PM,3,4,5,5,15,20,21,21,21,730
07/24/2026 12:27:31 PM,3,4,4,4,18,21,22,22,22,598
07/24/2026 12:27:32 PM,3,3,4,4,19,22,23,23,23,491
07/24/2026 12:27:33 PM,3,3,3,3,21,24,24,24,24,451
07/24/2026 12:27:34 PM,3,3,4,4,20,23,24,24,24,469
07/24/2026 12:27:35 PM,3,3,4,4,20,23,24,24,24,475
07/24/2026 12:27:36 PM,3,3,3,3,21,24,24,24,24,449
07/24/2026 12:27:37 PM,3,3,3,3,21,24,24,24,24,434
07/24/2026 12:27:38 PM,3,3,3,3,21,24,24,24,24,428
07/24/2026 12:27:39 PM,3,3,3,3,21,24,24,24,24,442
07/24/2026 12:27:40 PM,3,3,3,3,21,24,24,24,24,447
07/24/2026 12:27:41 PM,3,3,3,3,20,23,23,23,23,455
07/24/2026 12:27:42 PM,3,3,3,3,20,23,23,23,23,460
07/24/2026 12:27:43 PM,3,3,3,3,20,23,23,23,23,463
07/24/2026 12:27:44 PM,3,3,3,3,20,23,23,23,23,460
07/24/2026 12:27:45 PM,3,3,3,3,20,23,23,23,23,462
07/24/2026 12:27:46 PM,3,3,3,3,20,23,23,23,23,464
07/24/2026 12:27:47 PM,3,3,3,3,20,23,23,23,23,462
07/24/2026 12:27:48 PM,3,3,3,3,20,23,23,23,23,466
07/24/2026 12:27:49 PM,3,3,3,3,20,23,23,23,23,464
07/24/2026 12:27:50 PM,3,3,3,3,20,23,23,23,23,460
07/24/2026 12:27:51 PM,3,3,3,3,20,23,23,23,23,462
07/24/2026 12:27:52 PM,3,3,3,3,20,23,23,23,23,456
07/24/2026 12:27:53 PM,3,3,3,3,20,22,22,22,22,453
07/24/2026 12:27:54 PM,3,3,3,3,19,22,22,22,22,450
07/24/2026 12:27:55 PM,3,3,3,3,19,22,22,22,22,457
07/24/2026 12:27:56 PM,3,3,3,3,19,21,21,21,21,451
07/24/2026 12:27:57 PM,3,3,3,3,19,21,21,21,21,455
07/24/2026 12:27:58 PM,3,3,3,3,18,21,21,21,21,462
07/24/2026 12:27:59 PM,3,3,3,3,18,21,21,21,21,469
07/24/2026 12:28:00 PM,3,3,3,3,18,21,21,21,21,467
07/24/2026 12:28:01 PM,3,3,3,3,18,21,21,21,21,473
07/24/2026 12:28:02 PM,3,3,3,3,18,21,21,21,21,471
07/24/2026 12:28:03 PM,3,3,3,3,18,21,21,21,21,463
07/24/2026 12:28:04 PM,3,3,3,3,19,21,21,21,21,459
07/24/2026 12:28:05 PM,3,3,3,3,19,21,21,22,22,453
07/24/2026 12:28:06 PM,3,3,3,3,19,22,22,22,22,456
07/24/2026 12:28:07 PM,3,3,3,3,19,22,22,22,22,457
07/24/2026 12:28:08 PM,3,3,3,3,19,22,22,22,22,458
07/24/2026 12:28:09 PM,3,3,3,3,19,22,22,22,22,458
07/24/2026 12:28:10 PM,3,3,3,3,19,22,22,22,22,464
07/24/2026 12:28:11 PM,3,3,3,3,19,22,22,22,22,458
07/24/2026 12:28:12 PM,3,3,3,3,19,22,22,22,22,461
07/24/2026 12:28:13 PM,3,3,3,3,19,22,22,22,22,455
07/24/2026 12:28:14 PM,3,3,3,3,19,22,22,22,22,453
07/24/2026 12:28:15 PM,3,3,3,3,19,22,22,22,22,454
07/24/2026 12:28:16 PM,3,3,3,3,19,22,22,22,22,449
07/24/2026 12:28:17 PM,3,3,3,3,19,21,21,21,21,451
07/24/2026 12:28:18 PM,3,3,3,3,19,21,21,21,21,449
07/24/2026 12:28:19 PM,3,3,3,3,19,21,21,21,21,450
07/24/2026 12:28:20 PM,3,3,3,3,18,21,21,21,21,451
07/24/2026 12:28:21 PM,3,3,3,3,18,21,21,21,21,454
07/24/2026 12:28:22 PM,3,3,3,3,18,20,20,20,20,457
07/24/2026 12:28:24 PM,3,3,3,3,18,20,20,20,20,464
07/24/2026 12:28:25 PM,3,3,3,3,18,20,20,20,20,465
07/24/2026 12:28:26 PM,3,3,3,3,18,20,20,20,20,469
07/24/2026 12:28:27 PM,3,3,3,3,18,20,20,20,20,470
07/24/2026 12:28:28 PM,3,3,3,3,18,20,20,20,20,469
07/24/2026 12:28:29 PM,3,3,3,3,18,20,20,20,20,471
07/24/2026 12:28:30 PM,3,3,3,3,18,20,20,20,20,473
07/24/2026 12:28:31 PM,3,3,3,3,18,20,20,20,20,475
07/24/2026 12:28:32 PM,3,3,3,3,18,20,20,20,20,476
07/24/2026 12:28:33 PM,3,3,3,3,18,20,21,21,21,475
07/24/2026 12:28:34 PM,3,3,3,3,18,21,21,21,21,475
07/24/2026 12:28:35 PM,3,3,3,3,18,21,21,21,21,476
07/24/2026 12:28:36 PM,3,3,3,3,18,21,21,21,21,477
07/24/2026 12:28:37 PM,3,3,3,3,18,21,21,21,21,476
07/24/2026 12:28:38 PM,3,3,3,3,18,21,21,21,21,477
07/24/2026 12:28:39 PM,3,3,3,3,18,21,21,21,21,473
07/24/2026 12:28:40 PM,3,3,3,3,18,21,21,21,21,474
07/24/2026 12:28:41 PM,3,3,3,3,18,21,21,21,21,471
07/24/2026 12:28:42 PM,3,3,3,3,18,21,21,21,21,468
07/24/2026 12:28:43 PM,3,3,3,3,18,21,21,21,21,469
07/24/2026 12:28:44 PM,3,3,3,3,18,20,20,21,21,472
07/24/2026 12:28:45 PM,3,3,3,3,18,20,20,20,20,471
07/24/2026 12:28:46 PM,3,3,3,3,18,20,20,20,20,470
07/24/2026 12:28:47 PM,3,3,3,3,18,20,20,20,20,473
07/24/2026 12:28:48 PM,3,3,3,3,18,20,20,20,20,473
07/24/2026 12:28:49 PM,3,3,3,3,17,20,20,20,20,468
07/24/2026 12:28:50 PM,3,3,3,3,18,20,20,20,20,471
07/24/2026 12:28:51 PM,3,3,3,3,18,20,20,20,20,473
07/24/2026 12:28:52 PM,3,3,3,3,18,20,20,20,20,474
07/24/2026 12:28:53 PM,3,3,3,3,18,20,20,20,20,474
07/24/2026 12:28:54 PM,3,3,3,3,17,20,20,20,20,474
07/24/2026 12:28:55 PM,2,3,3,3,17,20,20,20,20,470
07/24/2026 12:28:56 PM,2,3,3,3,17,20,20,20,20,468
07/24/2026 12:28:57 PM,2,3,3,3,17,20,20,20,20,467
07/24/2026 12:28:58 PM,2,3,3,3,17,19,19,19,19,467
07/24/2026 12:28:59 PM,2,3,3,3,17,19,19,19,19,466
