Timestamp,PM1.0,PM2.5,PM4.0,PM10.0,NC0.5,NC1.0,NC2.5,NC4.0,NC10.0,TypicalSize
07/24/2026 05:49:26 PM,4,4,4,4,25,28,28,28,28,320
07/24/2026 05:49:27 PM,4,4,4,4,25,28,28,28,28,296
07/24/2026 05:49:28 PM,4,4,4,4,25,28,28,28,28,340
07/24/2026 05:49:29 PM,4,4,4,4,25,28,28,28,28,344
07/24/2026 05:49:30 PM,4,4,4,4,25,29,29,29,29,359
07/24/2026 05:49:31 PM,4,4,4,4,25,29,29,29,29,354
07/24/2026 05:49:32 PM,4,4,4,4,25,29,29,29,29,371
07/24/2026 05:49:33 PM,4,4,4,4,25,29,29,29,29,378
07/24/2026 05:49:34 PM,4,4,4,4,25,28,28,28,28,409
07/24/2026 05:49:35 PM,4,4,4,4,25,28,28,28,28,414
07/24/2026 05:49:37 PM,3,4,4,4,24,28,28,28,28,400
07/24/2026 05:49:38 PM,3,4,4,4,24,28,28,28,28,430
07/24/2026 05:49:39 PM,3,4,4,4,24,27,28,28,28,419
07/24/2026 05:49:40 PM,3,4,4,4,24,27,27,27,27,420
07/24/2026 05:49:41 PM,3,4,4,4,24,27,27,27,27,432
07/24/2026 05:49:42 PM,3,4,4,4,24,27,27,27,27,429
07/24/2026 05:49:43 PM,3,4,4,4,24,27,27,27,27,428
07/24/2026 05:49:44 PM,3,4,4,4,23,27,27,27,27,432
07/24/2026 05:49:45 PM,3,4,4,4,23,26,27,27,27,428
07/24/2026 05:49:46 PM,3,3,3,3,23,26,26,26,26,435
07/24/2026 05:49:47 PM,3,4,4,4,23,26,26,26,26,454
07/24/2026 05:49:48 PM,3,4,4,4,23,26,26,26,26,447
07/24/2026 05:49:49 PM,3,4,4,4,23,26,27,27,27,452
07/24/2026 05:49:50 PM,3,4,4,4,23,26,26,26,26,456
07/24/2026 05:49:51 PM,3,4,4,4,23,27,27,27,27,448
07/24/2026 05:49:52 PM,3,4,4,4,24,27,27,27,27,446
07/24/2026 05:49:53 PM,3,4,4,4,24,27,27,27,27,438
07/24/2026 05:49:54 PM,3,4,4,4,24,27,27,27,27,442
07/24/2026 05:49:55 PM,3,4,4,4,24,27,27,27,27,446
07/24/2026 05:49:56 PM,3,4,4,4,24,27,27,27,27,434
07/24/2026 05:49:57 PM,3,4,4,4,24,28,28,28,28,430
07/24/2026 05:49:58 PM,4,4,4,4,25,28,28,28,28,431
07/24/2026 05:49:59 PM,4,4,4,4,26,29,29,29,29,426
07/24/2026 05:50:00 PM,4,4,4,4,26,29,30,30,30,427
07/24/2026 05:50:01 PM,4,4,4,4,26,30,30,30,30,428
07/24/2026 05:50:02 PM,4,4,4,4,27,30,30,30,30,424
07/24/2026 05:50:03 PM,4,4,4,4,27,31,31,31,31,429
07/24/2026 05:50:04 PM,4,4,4,4,28,31,31,31,31,428
07/24/2026 05:50:05 PM,4,4,4,4,28,32,32,32,32,424
