Timestamp,PM1.0,PM2.5,PM4.0,PM10.0,NC0.5,NC1.0,NC2.5,NC4.0,NC10.0,TypicalSize
07/26/2026 07:44:31 PM,5,5,5,5,35,40,40,40,40,360
07/26/2026 07:44:32 PM,5,5,5,5,35,39,39,39,39,358
07/26/2026 07:44:33 PM,5,5,5,5,35,39,39,39,39,384
07/26/2026 07:44:34 PM,5,5,5,5,34,39,39,39,39,394
07/26/2026 07:44:36 PM,5,5,5,5,34,39,39,39,39,394
07/26/2026 07:44:37 PM,5,5,5,5,34,39,39,39,39,395
07/26/2026 07:44:38 PM,5,5,5,5,35,39,39,39,39,402
07/26/2026 07:44:39 PM,5,5,5,5,35,39,39,39,39,423
07/26/2026 07:44:40 PM,5,5,5,5,35,39,39,39,39,424
07/26/2026 07:44:41 PM,5,5,5,5,35,39,39,39,39,434
07/26/2026 07:44:42 PM,5,5,5,5,34,39,39,39,39,429
07/26/2026 07:44:43 PM,5,5,5,5,34,38,39,39,39,424
07/26/2026 07:44:44 PM,5,5,5,5,33,38,38,38,38,418
07/26/2026 07:44:45 PM,5,5,5,5,33,37,37,37,37,421
07/26/2026 07:44:46 PM,5,5,5,5,32,37,37,37,37,414
07/26/2026 07:44:47 PM,5,5,5,5,32,36,36,36,36,412
07/26/2026 07:44:48 PM,4,5,5,5,31,35,35,35,35,425
07/26/2026 07:44:49 PM,4,5,5,5,31,35,35,35,35,417
07/26/2026 07:44:50 PM,4,5,5,5,30,34,34,34,34,417
07/26/2026 07:44:51 PM,4,4,4,4,30,34,34,34,34,413
07/26/2026 07:44:52 PM,4,4,4,4,30,34,34,34,34,420
07/26/2026 07:44:53 PM,4,4,4,4,30,34,34,34,34,425
07/26/2026 07:44:54 PM,4,4,4,4,30,34,34,34,34,418
07/26/2026 07:44:55 PM,4,5,5,5,30,34,34,34,34,420
07/26/2026 07:44:56 PM,4,5,5,5,30,34,35,35,35,419
07/26/2026 07:44:57 PM,4,5,5,5,31,35,35,35,35,418
07/26/2026 07:44:58 PM,4,5,5,5,31,35,35,35,35,414
07/26/2026 07:44:59 PM,4,5,5,5,31,35,35,35,35,409
07/26/2026 07:45:00 PM,4,5,5,5,31,35,35,35,35,412
07/26/2026 07:45:01 PM,4,5,5,5,31,35,36,36,36,417
07/26/2026 07:45:02 PM,4,5,5,5,31,35,36,36,36,416
07/26/2026 07:45:03 PM,4,5,5,5,31,35,36,36,36,417
07/26/2026 07:45:04 PM,4,5,5,5,31,35,35,35,35,411
07/26/2026 07:45:05 PM,4,5,5,5,31,35,35,35,35,413
07/26/2026 07:45:06 PM,4,5,5,5,31,35,35,35,35,413
07/26/2026 07:45:07 PM,4,5,5,5,31,35,35,35,35,414
07/26/2026 07:45:08 PM,4,5,5,5,30,34,34,34,34,411
07/26/2026 07:45:09 PM,4,5,5,5,30,34,34,34,34,413
07/26/2026 07:45:10 PM,4,4,4,4,30,34,34,34,34,416
07/26/2026 07:45:11 PM,4,4,4,4,29,33,33,33,33,421
07/26/2026 07:45:12 PM,4,4,4,4,29,33,33,33,33,424
07/26/2026 07:45:13 PM,4,4,4,4,29,32,33,33,33,423
07/26/2026 07:45:14 PM,4,4,4,4,28,32,32,32,32,423
07/26/2026 07:45:15 PM,4,4,4,4,28,32,32,32,32,426
07/26/2026 07:45:16 PM,4,4,4,4,28,32,32,32,32,421
07/26/2026 07:45:17 PM,4,4,4,4,28,32,32,32,32,419
07/26/2026 07:45:18 PM,4,4,4,4,28,31,31,31,31,419
07/26/2026 07:45:19 PM,4,4,4,4,28,31,31,31,31,420
07/26/2026 07:45:20 PM,4,4,4,4,28,31,31,31,31,424
07/26/2026 07:45:21 PM,4,4,4,4,28,32,32,32,32,424
07/26/2026 07:45:22 PM,4,4,4,4,28,32,32,32,32,426
07/26/2026 07:45:23 PM,4,4,4,4,29,33,33,33,33,426
07/26/2026 07:45:25 PM,4,4,4,4,29,33,33,33,33,424
07/26/2026 07:45:26 PM,4,4,4,4,30,33,34,34,34,424
07/26/2026 07:45:27 PM,4,5,5,5,30,34,34,34,34,425
07/26/2026 07:45:28 PM,4,5,5,5,30,34,34,34,34,426
07/26/2026 07:45:29 PM,4,5,5,5,30,35,35,35,35,427
07/26/2026 07:45:30 PM,4,5,5,5,31,35,35,35,35,428
07/26/2026 07:45:31 PM,4,5,5,5,31,35,35,35,35,425
07/26/2026 07:45:32 PM,4,5,5,5,31,35,35,35,35,426
07/26/2026 07:45:33 PM,4,5,5,5,31,35,35,35,35,427
07/26/2026 07:45:34 PM,4,5,5,5,31,35,35,35,35,428
07/26/2026 07:45:35 PM,4,5,5,5,30,34,34,34,34,429
07/26/2026 07:45:36 PM,4,4,4,4,30,34,34,34,34,430
07/26/2026 07:45:37 PM,4,4,4,4,29,33,33,33,33,430
07/26/2026 07:45:38 PM,4,4,4,4,29,33,33,33,33,428
07/26/2026 07:45:39 PM,4,4,4,4,28,32,32,32,32,429
07/26/2026 07:45:40 PM,4,4,4,4,27,31,31,31,31,429
07/26/2026 07:45:41 PM,4,4,4,4,26,30,30,30,30,433
07/26/2026 07:45:42 PM,4,4,4,4,26,29,29,29,29,431
07/26/2026 07:45:43 PM,4,4,4,4,25,29,29,29,29,430
07/26/2026 07:45:44 PM,4,4,4,4,25,28,28,28,28,431
07/26/2026 07:45:45 PM,3,4,4,4,24,28,28,28,28,435
07/26/2026 07:45:46 PM,3,4,4,4,24,27,27,27,27,435
07/26/2026 07:45:47 PM,3,4,4,4,24,27,27,27,27,434
07/26/2026 07:45:48 PM,3,4,4,4,24,27,27,27,27,435
07/26/2026 07:45:49 PM,3,4,4,4,24,27,27,27,27,436
07/26/2026 07:45:50 PM,3,4,4,4,23,27,27,27,27,436
07/26/2026 07:45:51 PM,3,4,4,4,24,27,27,27,27,439
07/26/2026 07:45:52 PM,3,4,4,4,24,27,27,27,27,439
07/26/2026 07:45:53 PM,3,4,4,4,24,27,27,27,27,440
07/26/2026 07:45:54 PM,3,4,4,4,24,27,27,27,27,441
07/26/2026 07:45:55 PM,3,4,4,4,24,27,27,27,27,441
07/26/2026 07:45:56 PM,3,4,4,4,24,27,27,27,27,440
07/26/2026 07:45:57 PM,3,4,4,4,24,28,28,28,28,441
07/26/2026 07:45:58 PM,4,4,4,4,25,28,28,28,28,440
07/26/2026 07:45:59 PM,4,4,4,4,25,28,28,28,28,439
07/26/2026 07:46:00 PM,4,4,4,4,25,28,28,28,28,440
07/26/2026 07:46:01 PM,3,4,4,4,25,28,28,28,28,439
07/26/2026 07:46:02 PM,3,4,4,4,24,28,28,28,28,438
07/26/2026 07:46:03 PM,3,4,4,4,24,27,28,28,28,441
07/26/2026 07:46:04 PM,3,4,4,4,24,27,28,28,28,442
07/26/2026 07:46:05 PM,3,4,4,4,24,27,28,28,28,445
07/26/2026 07:46:06 PM,3,4,4,4,24,27,27,27,27,444
07/26/2026 07:46:07 PM,3,4,4,4,24,27,27,27,27,445
07/26/2026 07:46:08 PM,3,4,4,4,24,27,27,27,27,445
07/26/2026 07:46:09 PM,3,4,4,4,24,27,27,27,27,442
07/26/2026 07:46:10 PM,3,4,4,4,24,27,27,27,27,443
07/26/2026 07:46:11 PM,3,4,4,4,24,27,27,27,27,442
07/26/2026 07:46:12 PM,3,4,4,4,24,28,28,28,28,440
07/26/2026 07:46:13 PM,3,4,4,4,24,28,28,28,28,440
07/26/2026 07:46:14 PM,3,4,4,4,24,28,28,28,28,438
07/26/2026 07:46:15 PM,3,4,4,4,24,27,28,28,28,439
07/26/2026 07:46:16 PM,3,4,4,4,24,27,27,27,27,438
07/26/2026 07:46:17 PM,3,4,4,4,24,27,27,27,27,437
07/26/2026 07:46:18 PM,4,4,4,4,25,28,28,28,28,436
07/26/2026 07:46:20 PM,4,4,4,4,25,29,29,29,29,436
07/26/2026 07:46:21 PM,4,4,4,4,26,29,29,29,29,434
07/26/2026 07:46:22 PM,4,4,4,4,26,30,30,30,30,434
07/26/2026 07:46:23 PM,4,4,4,4,27,31,31,31,31,433
07/26/2026 07:46:24 PM,4,4,4,4,27,31,31,31,31,435
07/26/2026 07:46:25 PM,4,4,4,4,28,31,32,32,32,436
07/26/2026 07:46:26 PM,4,4,4,4,28,32,32,32,32,434
07/26/2026 07:46:27 PM,4,4,4,4,28,32,32,32,32,432
07/26/2026 07:46:28 PM,4,4,4,4,29,33,33,33,33,434
07/26/2026 07:46:29 PM,4,4,4,4,29,33,33,33,33,434
07/26/2026 07:46:30 PM,4,4,4,4,29,33,33,34,34,433
07/26/2026 07:46:31 PM,4,4,4,4,30,33,34,34,34,432
07/26/2026 07:46:32 PM,4,4,4,4,29,33,33,33,33,434
07/26/2026 07:46:33 PM,4,4,4,4,29,33,33,33,33,434
07/26/2026 07:46:34 PM,4,4,4,4,29,33,33,33,33,436
07/26/2026 07:46:35 PM,4,4,4,4,29,33,33,33,33,437
07/26/2026 07:46:36 PM,4,4,4,4,28,32,32,32,32,438
07/26/2026 07:46:37 PM,4,4,4,4,28,32,32,32,32,439
07/26/2026 07:46:38 PM,4,4,4,4,27,31,31,31,31,441
07/26/2026 07:46:39 PM,4,4,4,4,27,31,31,31,31,441
07/26/2026 07:46:40 PM,4,4,4,4,27,30,30,30,30,442
07/26/2026 07:46:41 PM,4,4,4,4,26,30,30,30,30,443
07/26/2026 07:46:42 PM,4,4,4,4,26,29,29,30,30,445
07/26/2026 07:46:43 PM,4,4,4,4,25,29,29,29,29,445
07/26/2026 07:46:44 PM,4,4,4,4,25,29,29,29,29,447
07/26/2026 07:46:45 PM,4,4,4,4,25,28,28,28,28,447
07/26/2026 07:46:46 PM,3,4,4,4,24,28,28,28,28,446
07/26/2026 07:46:47 PM,3,4,4,4,24,27,27,27,27,445
07/26/2026 07:46:48 PM,3,4,4,4,24,27,27,27,27,444
07/26/2026 07:46:49 PM,3,4,4,4,24,27,27,27,27,444
07/26/2026 07:46:50 PM,3,4,4,4,23,26,26,26,26,447
07/26/2026 07:46:51 PM,3,3,3,3,23,26,26,26,26,445
07/26/2026 07:46:52 PM,3,3,3,3,23,26,26,26,26,445
07/26/2026 07:46:53 PM,3,3,3,3,23,26,26,26,26,443
07/26/2026 07:46:54 PM,3,3,3,3,23,26,26,26,26,443
07/26/2026 07:46:55 PM,3,3,3,3,22,25,25,25,25,442
07/26/2026 07:46:56 PM,3,3,3,3,22,25,25,25,25,441
07/26/2026 07:46:57 PM,3,3,3,3,23,26,26,26,26,441
07/26/2026 07:46:58 PM,3,3,3,3,23,26,26,26,26,442
07/26/2026 07:46:59 PM,3,3,3,3,23,26,26,26,26,441
07/26/2026 07:47:00 PM,3,4,4,4,24,27,27,27,27,439
07/26/2026 07:47:01 PM,4,4,4,4,25,28,28,28,28,438
07/26/2026 07:47:02 PM,4,4,4,4,25,29,29,29,29,439
07/26/2026 07:47:03 PM,4,4,4,4,26,29,29,29,29,440
07/26/2026 07:47:04 PM,4,4,4,4,27,30,30,30,30,443
07/26/2026 07:47:05 PM,4,4,4,4,27,31,31,31,31,441
07/26/2026 07:47:06 PM,4,4,4,4,27,31,31,31,31,441
07/26/2026 07:47:07 PM,4,4,4,4,28,31,31,31,31,442
07/26/2026 07:47:08 PM,4,4,4,4,28,31,32,32,32,442
07/26/2026 07:47:09 PM,4,4,4,4,28,32,32,32,32,441
07/26/2026 07:47:10 PM,4,4,4,4,28,32,32,32,32,441
07/26/2026 07:47:11 PM,4,4,4,4,28,31,31,31,31,440
07/26/2026 07:47:12 PM,4,4,4,4,27,31,31,31,31,439
07/26/2026 07:47:13 PM,4,4,4,4,27,31,31,31,31,439
07/26/2026 07:47:14 PM,4,4,4,4,27,30,31,31,31,438
07/26/2026 07:47:16 PM,4,4,4,4,27,30,30,30,30,441
