Timestamp,PM1.0,PM2.5,PM4.0,PM10.0,NC0.5,NC1.0,NC2.5,NC4.0,NC10.0,TypicalSize
07/26/2026 08:03:40 PM,4,5,6,6,27,32,33,33,33,548
07/26/2026 08:03:41 PM,4,5,6,6,25,31,32,32,32,656
07/26/2026 08:03:42 PM,4,5,5,5,27,32,33,33,33,575
07/26/2026 08:03:43 PM,4,5,5,5,27,32,33,33,33,567
07/26/2026 08:03:44 PM,4,5,5,5,28,33,33,33,33,486
07/26/2026 08:03:45 PM,4,5,5,5,29,33,33,33,33,489
07/26/2026 08:03:46 PM,4,5,5,5,29,33,33,33,33,468
07/26/2026 08:03:47 PM,4,5,5,5,29,33,34,34,34,458
07/26/2026 08:03:48 PM,4,4,4,4,30,34,34,34,34,447
07/26/2026 08:03:49 PM,4,5,5,5,29,34,34,34,34,460
07/26/2026 08:03:50 PM,4,5,5,5,30,34,34,34,34,465
07/26/2026 08:03:51 PM,4,5,5,5,30,34,34,34,34,456
07/26/2026 08:03:52 PM,4,5,5,5,30,34,35,35,35,455
07/26/2026 08:03:53 PM,4,5,5,5,30,34,34,34,34,447
07/26/2026 08:03:55 PM,4,4,4,4,30,34,34,34,34,445
07/26/2026 08:03:56 PM,4,4,4,4,30,34,34,34,34,433
07/26/2026 08:03:57 PM,4,4,4,4,30,33,34,34,34,442
07/26/2026 08:03:58 PM,4,4,4,4,29,33,33,33,33,447
07/26/2026 08:03:59 PM,4,4,4,4,29,33,33,33,33,452
07/26/2026 08:04:00 PM,4,4,4,4,29,33,33,33,33,442
07/26/2026 08:04:01 PM,4,4,4,4,29,33,33,33,34,451
07/26/2026 08:04:02 PM,4,4,4,4,29,33,33,33,33,448
07/26/2026 08:04:03 PM,4,4,4,4,29,33,33,34,34,445
07/26/2026 08:04:04 PM,4,4,4,4,30,34,34,34,34,453
07/26/2026 08:04:05 PM,4,4,4,4,30,34,34,34,34,445
07/26/2026 08:04:06 PM,4,4,5,5,30,34,34,34,34,464
07/26/2026 08:04:07 PM,4,4,5,5,29,33,33,33,34,463
